Trade Month,Options Class,Underlying,Product Type,Exchange,Average Daily Volume
2026/07,APP,APP,S,CBOE,690
2026/07,APPF,APPF,S,CBOE,3
2026/07,APPN,APPN,S,CBOE,9
2026/07,APPS,APPS,S,CBOE,130
2026/07,APPX,APPX,S,CBOE,14
2026/07,APPX1,APPX,S,CBOE,0
2026/07,APT,APT,S,CBOE,2
2026/07,2APTV,APTV,S,CBOE,1148
2026/07,APTV,APTV,S,CBOE,10
2026/07,APYX,APYX,S,CBOE,1
2026/07,AQN,AQN,S,CBOE,1
2026/07,AQST,AQST,S,CBOE,29
2026/07,2AR,AR,S,CBOE,455
2026/07,AR,AR,S,CBOE,163
2026/07,ARAY,ARAY,S,CBOE,2
2026/07,ARBE,ARBE,S,CBOE,56
2026/07,ARCB,ARCB,S,CBOE,4
2026/07,ARCC,ARCC,S,CBOE,147
2026/07,ARCO,ARCO,S,CBOE,0
2026/07,ARCT,ARCT,S,CBOE,1
2026/07,ARCX,ARCX,S,CBOE,1
2026/07,ARDX,ARDX,S,CBOE,15
2026/07,ARE,ARE,S,CBOE,41
2026/07,AREC,AREC,S,CBOE,202
2026/07,AREN,AREN,S,CBOE,10
2026/07,ARES,ARES,S,CBOE,47
2026/07,ARGT,ARGT,S,CBOE,1
2026/07,ARGX,ARGX,S,CBOE,3
2026/07,ARHS,ARHS,S,CBOE,1
2026/07,ARI,ARI,S,CBOE,43
2026/07,ARIS,ARIS,S,CBOE,11
2026/07,ARKB,ARKB,S,CBOE,10
2026/07,ARKF,ARKF,S,CBOE,4
2026/07,ARKG,ARKG,S,CBOE,637
2026/07,2ARKK,ARKK,S,CBOE,6
2026/07,4ARKK,ARKK,S,CBOE,6
2026/07,ARKK,ARKK,S,CBOE,1984
2026/07,ARKO,ARKO,S,CBOE,0
2026/07,ARKQ,ARKQ,S,CBOE,3
2026/07,ARKW,ARKW,S,CBOE,3
2026/07,ARKX,ARKX,S,CBOE,46
2026/07,ARLO,ARLO,S,CBOE,1
2026/07,1ARLP,ARLP,S,CBOE,14
2026/07,ARLP,ARLP,S,CBOE,10
2026/07,ARM,ARM,S,CBOE,1833
2026/07,ARMG,ARMG,S,CBOE,12
2026/07,ARMK,ARMK,S,CBOE,9
2026/07,ARMW,ARMW,S,CBOE,5
2026/07,AROC,AROC,S,CBOE,3
2026/07,AROW,AROW,S,CBOE,0
2026/07,ARQQ,ARQQ,S,CBOE,43
2026/07,ARQT,ARQT,S,CBOE,5
2026/07,ARR,ARR,S,CBOE,19
2026/07,ARRY,ARRY,S,CBOE,88
2026/07,ARTY,ARTY,S,CBOE,3
2026/07,ARVN,ARVN,S,CBOE,1
2026/07,ARW,ARW,S,CBOE,4
2026/07,ARWR,ARWR,S,CBOE,19
2026/07,ARX,ARX,S,CBOE,24
2026/07,ARXS,ARXS,S,CBOE,1
2026/07,AS,AS,S,CBOE,79
2026/07,ASA,ASA,S,CBOE,0
2026/07,ASAN,ASAN,S,CBOE,31
2026/07,ASB,ASB,S,CBOE,0
2026/07,ASC,ASC,S,CBOE,8
2026/07,ASEA,ASEA,S,CBOE,0
2026/07,ASH,ASH,S,CBOE,2
2026/07,ASHR,ASHR,S,CBOE,415
2026/07,ASHS,ASHS,S,CBOE,0
2026/07,ASIX,ASIX,S,CBOE,0
2026/07,ASM,ASM,S,CBOE,7
2026/07,ASMB,ASMB,S,CBOE,0
2026/07,ASMG,ASMG,S,CBOE,3
2026/07,2ASML,ASML,S,CBOE,1
2026/07,ASML,ASML,S,CBOE,640
2026/07,ASND,ASND,S,CBOE,8
2026/07,ASO,ASO,S,CBOE,49
2026/07,ASPI,ASPI,S,CBOE,388
2026/07,ASPN,ASPN,S,CBOE,3
2026/07,ASR,ASR,S,CBOE,0
2026/07,ASST,ASST,S,CBOE,429
2026/07,ASST1,ASST,S,CBOE,1
2026/07,ASST2,ASST,S,CBOE,27
2026/07,ASTE,ASTE,S,CBOE,0
2026/07,ASTH,ASTH,S,CBOE,11
2026/07,ASTI,ASTI,S,CBOE,22
2026/07,ASTS,ASTS,S,CBOE,6760
2026/07,ASTX,ASTX,S,CBOE,61
2026/07,ASUR,ASUR,S,CBOE,0
2026/07,ASX,ASX,S,CBOE,236
2026/07,ASYS,ASYS,S,CBOE,3
2026/07,ATAI,ATAI,S,CBOE,101
2026/07,ATAT,ATAT,S,CBOE,0
2026/07,ATEC,ATEC,S,CBOE,5
2026/07,ATEN,ATEN,S,CBOE,14
2026/07,ATER,ATER,S,CBOE,1
2026/07,ATEX,ATEX,S,CBOE,11
2026/07,ATHM,ATHM,S,CBOE,0
2026/07,ATI,ATI,S,CBOE,30
2026/07,ATKR,ATKR,S,CBOE,10
2026/07,ATLX,ATLX,S,CBOE,6
2026/07,ATNM,ATNM,S,CBOE,6
2026/07,ATO,ATO,S,CBOE,1
2026/07,ATOM,ATOM,S,CBOE,22
2026/07,ATOS,ATOS,S,CBOE,1
2026/07,ATR,ATR,S,CBOE,1
2026/07,ATRC,ATRC,S,CBOE,5
2026/07,ATRO,ATRO,S,CBOE,9
2026/07,ATRO1,ATRO,S,CBOE,1
2026/07,ATS,ATS,S,CBOE,0
2026/07,ATYR,ATYR,S,CBOE,5
2026/07,AU,AU,S,CBOE,54
2026/07,AUB,AUB,S,CBOE,9
2026/07,AUDC,AUDC,S,CBOE,1
2026/07,AUGO,AUGO,S,CBOE,2
2026/07,AUPH,AUPH,S,CBOE,9
2026/07,AUR,AUR,S,CBOE,117
2026/07,AURA,AURA,S,CBOE,10
2026/07,AUTL,AUTL,S,CBOE,1
2026/07,AV,AV,S,CBOE,0
2026/07,AVA,AVA,S,CBOE,19
2026/07,AVAH,AVAH,S,CBOE,5
2026/07,AVAV,AVAV,S,CBOE,479
2026/07,2AVB,AVB,S,CBOE,0
2026/07,AVB,AVB,S,CBOE,48
2026/07,AVBP,AVBP,S,CBOE,41
2026/07,AVD,AVD,S,CBOE,13
2026/07,AVDV,AVDV,S,CBOE,0
2026/07,AVEM,AVEM,S,CBOE,0
2026/07,AVEX,AVEX,S,CBOE,80
2026/07,AVGG,AVGG,S,CBOE,20
2026/07,2AVGO,AVGO,S,CBOE,446
2026/07,AVGO,AVGO,S,CBOE,12086
2026/07,AVGW,AVGW,S,CBOE,3
2026/07,AVGX,AVGX,S,CBOE,19
2026/07,AVIR,AVIR,S,CBOE,6
2026/07,AVL,AVL,S,CBOE,20
2026/07,AVNS,AVNS,S,CBOE,0
2026/07,AVNT,AVNT,S,CBOE,1
2026/07,AVNW,AVNW,S,CBOE,5
2026/07,AVO,AVO,S,CBOE,9
2026/07,AVO1,AVO,S,CBOE,0
2026/07,AVPT,AVPT,S,CBOE,14
2026/07,AVR,AVR,S,CBOE,3
2026/07,AVT,AVT,S,CBOE,5
2026/07,AVTR,AVTR,S,CBOE,8
2026/07,AVTX,AVTX,S,CBOE,1
2026/07,AVUV,AVUV,S,CBOE,1
2026/07,AVXL,AVXL,S,CBOE,8
2026/07,AVY,AVY,S,CBOE,100
2026/07,AWAY,AWAY,S,CBOE,3
2026/07,AWI,AWI,S,CBOE,0
2026/07,AWK,AWK,S,CBOE,26
2026/07,AWR,AWR,S,CBOE,4
2026/07,AWRE,AWRE,S,CBOE,0
2026/07,AX,AX,S,CBOE,2
2026/07,AXGN,AXGN,S,CBOE,29
2026/07,AXON,AXON,S,CBOE,87
2026/07,2AXP,AXP,S,CBOE,328
2026/07,AXP,AXP,S,CBOE,374
2026/07,AXS,AXS,S,CBOE,1
2026/07,AXSM,AXSM,S,CBOE,8
2026/07,AXTA,AXTA,S,CBOE,1
2026/07,AXTI,AXTI,S,CBOE,726
2026/07,AXTU,AXTU,S,CBOE,12
2026/07,AXTX,AXTX,S,CBOE,26
2026/07,AYA,AYA,S,CBOE,4
2026/07,AYI,AYI,S,CBOE,3
2026/07,AZ,AZ,S,CBOE,13
2026/07,2AZN,AZN,S,CBOE,78
2026/07,AZN,AZN,S,CBOE,106
2026/07,AZN1,AZN,S,CBOE,3
2026/07,AZO,AZO,S,CBOE,33
2026/07,AZTA,AZTA,S,CBOE,4
2026/07,AZZ,AZZ,S,CBOE,11
2026/07,B,B,S,CBOE,729
2026/07,2BA,BA,S,CBOE,4
2026/07,BA,BA,S,CBOE,2392
2026/07,2BABA,BABA,S,CBOE,4
2026/07,BABA,BABA,S,CBOE,7389
2026/07,BABA2,BABA,S,CBOE,38
2026/07,2BABX,BABX,S,CBOE,113
2026/07,BABX,BABX,S,CBOE,12
2026/07,2BAC,BAC,S,CBOE,49
2026/07,BAC,BAC,S,CBOE,4382
2026/07,BAH,BAH,S,CBOE,16
2026/07,BAI,BAI,S,CBOE,4
2026/07,BAIG,BAIG,S,CBOE,0
2026/07,BALL,BALL,S,CBOE,13
2026/07,BAM,BAM,S,CBOE,29
2026/07,BANC,BANC,S,CBOE,1
2026/07,BAND,BAND,S,CBOE,24
2026/07,BANF,BANF,S,CBOE,0
2026/07,BAP,BAP,S,CBOE,2
2026/07,BATRA,BATRA,S,CBOE,2
2026/07,BATRK,BATRK,S,CBOE,0
2026/07,BATT,BATT,S,CBOE,1
2026/07,BAX,BAX,S,CBOE,166
2026/07,BB,BB,S,CBOE,3112
2026/07,BBAI,BBAI,S,CBOE,1149
2026/07,BBAR,BBAR,S,CBOE,5
2026/07,2BBBY,BBBY,S,CBOE,32
2026/07,BBBY,BBBY,S,CBOE,79
2026/07,BBC,BBC,S,CBOE,0
2026/07,BBCA,BBCA,S,CBOE,0
2026/07,BBCP,BBCP,S,CBOE,1
2026/07,BBD,BBD,S,CBOE,4
2026/07,BBDC,BBDC,S,CBOE,1
2026/07,BBH,BBH,S,CBOE,0
2026/07,BBIO,BBIO,S,CBOE,104
2026/07,BBNX,BBNX,S,CBOE,0
2026/07,BBT,BBT,S,CBOE,1
2026/07,BBUC,BBUC,S,CBOE,0
2026/07,2BBVA,BBVA,S,CBOE,357
2026/07,BBVA,BBVA,S,CBOE,2
2026/07,BBW,BBW,S,CBOE,22
2026/07,BBWI,BBWI,S,CBOE,100
2026/07,BBY,BBY,S,CBOE,193
2026/07,BC,BC,S,CBOE,1
2026/07,BCAX,BCAX,S,CBOE,1
2026/07,BCC,BCC,S,CBOE,2
2026/07,BCD,BCD,S,CBOE,0
2026/07,BCE,BCE,S,CBOE,76
2026/07,BCH,BCH,S,CBOE,1
2026/07,BCI,BCI,S,CBOE,0
2026/07,BCIC,BCIC,S,CBOE,1
2026/07,BCML,BCML,S,CBOE,6
2026/07,BCO,BCO,S,CBOE,9
2026/07,BCPC,BCPC,S,CBOE,0
2026/07,BCRX,BCRX,S,CBOE,117
2026/07,BCS,BCS,S,CBOE,17
2026/07,BCSF,BCSF,S,CBOE,0
2026/07,BCYC,BCYC,S,CBOE,1
2026/07,BDC,BDC,S,CBOE,5
2026/07,BDN,BDN,S,CBOE,2
2026/07,BDTX,BDTX,S,CBOE,2
2026/07,BDX,BDX,S,CBOE,12
2026/07,BDX1,BDX,S,CBOE,0
2026/07,1BE,BE,S,CBOE,9449
2026/07,BE,BE,S,CBOE,6467
2026/07,BEAM,BEAM,S,CBOE,57
2026/07,BEEM,BEEM,S,CBOE,0
2026/07,BEKE,BEKE,S,CBOE,31
2026/07,BEN,BEN,S,CBOE,9
2026/07,BEP,BEP,S,CBOE,8
2026/07,BEPC,BEPC,S,CBOE,2
2026/07,BETA,BETA,S,CBOE,12
2026/07,BETR,BETR,S,CBOE,3
2026/07,BETZ,BETZ,S,CBOE,1
2026/07,BEX,BEX,S,CBOE,63
2026/07,BEZ,BEZ,S,CBOE,2
2026/07,BEZ1,BEZ,S,CBOE,0
2026/07,BFB,BF.B,S,CBOE,9
2026/07,BFAM,BFAM,S,CBOE,0
2026/07,BFH,BFH,S,CBOE,11
2026/07,BFLY,BFLY,S,CBOE,163
2026/07,BFST,BFST,S,CBOE,0
2026/07,BG,BG,S,CBOE,12
2026/07,BGC,BGC,S,CBOE,10
2026/07,BGS,BGS,S,CBOE,9
2026/07,BHC,BHC,S,CBOE,29
2026/07,BHE,BHE,S,CBOE,4
2026/07,BHF,BHF,S,CBOE,13
2026/07,BHP,BHP,S,CBOE,59
2026/07,BHR,BHR,S,CBOE,1
2026/07,BHVN,BHVN,S,CBOE,984
2026/07,BIB,BIB,S,CBOE,3
2026/07,BIDU,BIDU,S,CBOE,677
2026/07,BIIB,BIIB,S,CBOE,135
2026/07,4BIL,BIL,S,CBOE,3
2026/07,BIL,BIL,S,CBOE,61
2026/07,BILI,BILI,S,CBOE,100
2026/07,BILL,BILL,S,CBOE,209
2026/07,BIOA,BIOA,S,CBOE,5
2026/07,BIP,BIP,S,CBOE,1
2026/07,BIPC,BIPC,S,CBOE,0
2026/07,BIRK,BIRK,S,CBOE,37
2026/07,BITB,BITB,S,CBOE,8
2026/07,BITI,BITI,S,CBOE,4
2026/07,BITO,BITO,S,CBOE,622
2026/07,BITQ,BITQ,S,CBOE,0
2026/07,BITU,BITU,S,CBOE,11
2026/07,2BITX,BITX,S,CBOE,2304
2026/07,BITX,BITX,S,CBOE,630
2026/07,BIV,BIV,S,CBOE,1
2026/07,BIZD,BIZD,S,CBOE,6
2026/07,BJ,BJ,S,CBOE,9
2026/07,BJRI,BJRI,S,CBOE,1
2026/07,BKD,BKD,S,CBOE,516
2026/07,BKE,BKE,S,CBOE,5
2026/07,BKF,BKF,S,CBOE,0
2026/07,BKH,BKH,S,CBOE,0
2026/07,BKKT,BKKT,S,CBOE,43
2026/07,BKLN,BKLN,S,CBOE,28
2026/07,BKNG,BKNG,S,CBOE,318
2026/07,BKR,BKR,S,CBOE,122
2026/07,BKSY,BKSY,S,CBOE,36
2026/07,BKU,BKU,S,CBOE,2
2026/07,BKV,BKV,S,CBOE,25
2026/07,BL,BL,S,CBOE,1
2026/07,BLBD,BLBD,S,CBOE,0
2026/07,BLCK,BLCK,S,CBOE,0
2026/07,BLCO,BLCO,S,CBOE,1
2026/07,BLDP,BLDP,S,CBOE,51
2026/07,BLDR,BLDR,S,CBOE,105
2026/07,BLFS,BLFS,S,CBOE,1
2026/07,BLK,BLK,S,CBOE,45
2026/07,BLLN,BLLN,S,CBOE,16
